 | 254  | Togedemaru         |  0.58686% | 5854   |  0.587% | 4035   |  0.646% | 
 | 255  | Celebi             |  0.58606% | 5846   |  0.586% | 3338   |  0.535% | 
 | 256  | Heracross          |  0.58305% | 5816   |  0.583% | 3560   |  0.570% | 
 | 257  | Banette-Mega       |  0.58175% | 5803   |  0.582% | 3926   |  0.629% | 
 | 258  | Miltank            |  0.58014% | 5787   |  0.580% | 3390   |  0.543% | 
 | 259  | Bibarel            |  0.58004% | 5786   |  0.580% | 2556   |  0.409% | 
 | 260  | Steelix-Mega       |  0.57784% | 5764   |  0.578% | 3931   |  0.630% | 
 | 261  | Chesnaught         |  0.57383% | 5724   |  0.574% | 3702   |  0.593% | 
 | 262  | Nihilego           |  0.56510% | 5637   |  0.565% | 4141   |  0.663% | 
 | 263  | Thundurus-Therian  |  0.56370% | 5623   |  0.564% | 3564   |  0.571% | 
 | 264  | Crawdaunt          |  0.55538% | 5540   |  0.555% | 3619   |  0.580% | 
 | 265  | Leafeon            |  0.55197% | 5506   |  0.552% | 3137   |  0.503% | 
 | 266  | Pelipper           |  0.55127% | 5499   |  0.551% | 4187   |  0.671% | 
 | 267  | Flareon            |  0.55117% | 5498   |  0.551% | 3606   |  0.578% | 
 | 268  | Arceus-Electric    |  0.55067% | 5493   |  0.551% | 3409   |  0.546% | 
 | 269  | Yanmega            |  0.54927% | 5479   |  0.549% | 3464   |  0.555% | 
 | 270  | Florges            |  0.54826% | 5469   |  0.548% | 3380   |  0.541% | 
 | 271  | Cresselia          |  0.54646% | 5451   |  0.546% | 3072   |  0.492% | 
 | 272  | Sableye            |  0.54325% | 5419   |  0.543% | 3623   |  0.580% | 
 | 273  | Rotom-Heat         |  0.54205% | 5407   |  0.542% | 3832   |  0.614% | 
 | 274  | Lycanroc-Midnight  |  0.53914% | 5378   |  0.539% | 3716   |  0.595% | 
 | 275  | Glaceon            |  0.53663% | 5353   |  0.537% | 3311   |  0.530% | 
 | 276  | Magmortar          |  0.53523% | 5339   |  0.535% | 3510   |  0.562% | 
 | 277  | Vikavolt           |  0.52661% | 5253   |  0.527% | 3341   |  0.535% | 
 | 278  | Gallade            |  0.52661% | 5253   |  0.527% | 3484   |  0.558% | 
 | 279  | Sharpedo-Mega      |  0.52390% | 5226   |  0.524% | 3468   |  0.556% | 
 | 280  | Rayquaza           |  0.52240% | 5211   |  0.522% | 2908   |  0.466% | 
