 | 192  | Celebi             |  0.27722% | 15026  |  0.361% | 10983  |  0.346% | 
 | 193  | Decidueye          |  0.27434% | 21840  |  0.525% | 16065  |  0.507% | 
 | 194  | Electivire         |  0.27390% | 28403  |  0.682% | 20675  |  0.652% | 
 | 195  | Minior             |  0.26647% | 16891  |  0.406% | 11991  |  0.378% | 
 | 196  | Swellow            |  0.26296% | 16764  |  0.403% | 12142  |  0.383% | 
 | 197  | Gardevoir          |  0.25840% | 24567  |  0.590% | 16986  |  0.536% | 
 | 198  | Ludicolo           |  0.25092% | 18913  |  0.454% | 13555  |  0.428% | 
 | 199  | Shedinja           |  0.24893% | 16620  |  0.399% | 11284  |  0.356% | 
 | 200  | Mienshao           |  0.24851% | 17375  |  0.417% | 12941  |  0.408% | 
 | 201  | Rhyperior          |  0.24059% | 16294  |  0.391% | 12651  |  0.399% | 
 | 202  | Toxicroak          |  0.23191% | 17910  |  0.430% | 12894  |  0.407% | 
 | 203  | Abomasnow-Mega     |  0.22706% | 11630  |  0.279% | 8956   |  0.283% | 
 | 204  | Sceptile           |  0.22349% | 17609  |  0.423% | 12295  |  0.388% | 
 | 205  | Kyurem             |  0.22233% | 8333   |  0.200% | 6161   |  0.194% | 
 | 206  | Xatu               |  0.22095% | 14994  |  0.360% | 11196  |  0.353% | 
 | 207  | Sigilyph           |  0.22027% | 17959  |  0.432% | 12574  |  0.397% | 
 | 208  | Blastoise          |  0.22022% | 17860  |  0.429% | 13373  |  0.422% | 
 | 209  | Tornadus           |  0.22008% | 8127   |  0.195% | 6071   |  0.192% | 
 | 210  | Typhlosion         |  0.21836% | 20267  |  0.487% | 14772  |  0.466% | 
 | 211  | Sandslash-Alola    |  0.21821% | 13095  |  0.315% | 9772   |  0.308% | 
 | 212  | Chesnaught         |  0.21731% | 14262  |  0.343% | 10657  |  0.336% | 
 | 213  | Kabutops           |  0.21023% | 11090  |  0.266% | 7812   |  0.246% | 
 | 214  | Glalie-Mega        |  0.20196% | 9930   |  0.239% | 7303   |  0.230% | 
 | 215  | Ambipom            |  0.20193% | 18887  |  0.454% | 15148  |  0.478% | 
 | 216  | Slowking           |  0.19947% | 11197  |  0.269% | 8371   |  0.264% | 
 | 217  | Dusclops           |  0.19754% | 14393  |  0.346% | 10794  |  0.340% | 
 | 218  | Scrafty            |  0.19448% | 16832  |  0.404% | 12229  |  0.386% | 
 | 219  | Weezing            |  0.19194% | 14483  |  0.348% | 11551  |  0.364% | 
 | 220  | Linoone            |  0.19063% | 12149  |  0.292% | 8518   |  0.269% | 
 | 221  | Accelgor           |  0.18936% | 11768  |  0.283% | 9224   |  0.291% | 
 | 222  | Nidoqueen          |  0.18685% | 12225  |  0.294% | 9792   |  0.309% | 
 | 223  | Lapras             |  0.18408% | 19909  |  0.478% | 14816  |  0.467% | 
 | 224  | Hitmonlee          |  0.18363% | 13491  |  0.324% | 9448   |  0.298% | 
 | 225  | Doublade           |  0.18247% | 11342  |  0.273% | 8377   |  0.264% | 
 | 226  | Tyrantrum          |  0.18200% | 14400  |  0.346% | 10128  |  0.319% | 
 | 227  | Honchkrow          |  0.18051% | 15197  |  0.365% | 10567  |  0.333% | 
 | 228  | Vikavolt           |  0.17750% | 12625  |  0.303% | 8876   |  0.280% | 
 | 229  | Heliolisk          |  0.17410% | 13607  |  0.327% | 9572   |  0.302% | 
 | 230  | Ampharos-Mega      |  0.17398% | 15195  |  0.365% | 10510  |  0.332% | 
 | 231  | Cobalion           |  0.17086% | 10056  |  0.242% | 7619   |  0.240% | 
 | 232  | Eelektross         |  0.16959% | 17779  |  0.427% | 13603  |  0.429% | 
 | 233  | Pikachu            |  0.16576% | 17766  |  0.427% | 13187  |  0.416% | 
 | 234  | Dhelmise           |  0.16461% | 9167   |  0.220% | 6788   |  0.214% | 
 | 235  | Froslass           |  0.15930% | 14966  |  0.360% | 11502  |  0.363% | 
 | 236  | Omastar            |  0.15772% | 9486   |  0.228% | 6992   |  0.221% | 
 | 237  | Registeel          |  0.15545% | 10091  |  0.242% | 8257   |  0.260% | 
 | 238  | Jellicent          |  0.15531% | 10403  |  0.250% | 7684   |  0.242% | 
 | 239  | Tsareena           |  0.15492% | 10577  |  0.254% | 7602   |  0.240% | 
